datetime,location,co2
2017-03-25 09:08:51,Georgetown,758
2017-03-25 09:08:52,Georgetown,758
2017-03-25 09:08:53,Georgetown,766
2017-03-25 09:08:54,Georgetown,763
2017-03-25 09:08:55,Georgetown,776
2017-03-25 09:08:56,Georgetown,782
2017-03-25 09:08:57,Georgetown,779
2017-03-25 09:08:58,Georgetown,784
2017-03-25 09:08:59,Georgetown,776
2017-03-25 09:09:00,Georgetown,768
2017-03-25 09:09:01,Georgetown,776
2017-03-25 09:09:02,Georgetown,776
2017-03-25 09:09:03,Georgetown,768
2017-03-25 09:09:04,Georgetown,768
2017-03-25 09:09:05,Georgetown,776
2017-03-25 09:09:06,Georgetown,782
2017-03-25 09:09:07,Georgetown,771
2017-03-25 09:09:08,Georgetown,761
2017-03-25 09:09:09,Georgetown,758
2017-03-25 09:09:10,Georgetown,768
2017-03-25 09:09:11,Georgetown,768
2017-03-25 09:09:12,Georgetown,787
2017-03-25 09:09:13,Georgetown,789
2017-03-25 09:09:14,Georgetown,789
2017-03-25 09:09:15,Georgetown,779
2017-03-25 09:09:16,Georgetown,776
2017-03-25 09:09:17,Georgetown,776
2017-03-25 09:09:18,Georgetown,768
2017-03-25 09:09:19,Georgetown,774
2017-03-25 09:09:20,Georgetown,763
2017-03-25 09:09:21,Georgetown,761
2017-03-25 09:09:22,Georgetown,750
2017-03-25 09:09:23,Georgetown,755
2017-03-25 09:09:24,Georgetown,763
2017-03-25 09:09:25,Georgetown,758
2017-03-25 09:09:26,Georgetown,753
2017-03-25 09:09:27,Georgetown,750
2017-03-25 09:09:28,Georgetown,747
2017-03-25 09:09:29,Georgetown,747
2017-03-25 09:09:30,Georgetown,755
2017-03-25 09:09:31,Georgetown,761
2017-03-25 09:09:32,Georgetown,766
2017-03-25 09:09:33,Georgetown,774
2017-03-25 09:09:34,Georgetown,779
2017-03-25 09:09:35,Georgetown,789
2017-03-25 09:09:36,Georgetown,787
2017-03-25 09:09:37,Georgetown,792
2017-03-25 09:09:38,Georgetown,784
2017-03-25 09:09:39,Georgetown,771
2017-03-25 09:09:40,Georgetown,766
2017-03-25 09:09:41,Georgetown,766
2017-03-25 09:09:42,Georgetown,768
2017-03-25 09:09:43,Georgetown,782
2017-03-25 09:09:44,Georgetown,779
2017-03-25 09:09:45,Georgetown,779
2017-03-25 09:09:46,Georgetown,776
2017-03-25 09:09:47,Georgetown,776
2017-03-25 09:09:48,Georgetown,776
2017-03-25 09:09:49,Georgetown,763
2017-03-25 09:09:50,Georgetown,771
2017-03-25 09:09:51,Georgetown,771
2017-03-25 09:09:52,Georgetown,774
2017-03-25 09:09:53,Georgetown,784
2017-03-25 09:09:54,Georgetown,792
2017-03-25 09:09:55,Georgetown,792
2017-03-25 09:09:56,Georgetown,792
2017-03-25 09:09:57,Georgetown,792
2017-03-25 09:09:58,Georgetown,789
2017-03-25 09:09:59,Georgetown,779
2017-03-25 09:10:00,Georgetown,776
2017-03-25 09:10:01,Georgetown,774
2017-03-25 09:10:02,Georgetown,784
2017-03-25 09:10:03,Georgetown,782
