datetime,control_F_rms,control_L_rms,rolling_rms
2017-05-05 19:30:00,33.07911212312336,34.10515256159984,20.519676900579274
2017-05-05 19:31:00,32.330252771527064,32.74687106554355,19.272658607251536
2017-05-05 19:32:00,31.107188804398575,31.289015844222394,16.41630626719462
2017-05-05 19:33:00,30.38768123489078,31.688151069905715,13.467211938476105
2017-05-05 19:34:00,29.84513748083597,31.6068343660961,11.56968727069434
2017-05-05 19:35:00,30.74393782554267,32.26588870554061,13.557453189267026
2017-05-05 19:36:00,30.58705429793788,31.707562739760263,14.011936708124969
2017-05-05 19:37:00,30.52898220850967,31.720716137749264,11.470376587649596
2017-05-05 19:38:00,30.252539106591257,31.66215199177087,12.663262604544954
2017-05-05 19:39:00,30.292782066236505,31.65966456576359,8.173541026792897
2017-05-05 19:40:00,30.40846320311173,31.526040170851882,10.846441836880578
