datetime,temp,humidity,co2,light,sound,images,dr_closed,dr_opened,occupancy
2017-04-22 08:58:00,22.900000000000002,40.98333333333334,862.0,178.16666666666666,467.5,9.836380839558489,1,2,22.0
2017-04-22 08:59:00,22.983333333333334,41.475,874.0833333333334,191.75,474.5,8.717739039357243,3,2,25.0
2017-04-22 09:00:00,23.0,41.38333333333333,890.5833333333334,204.66666666666666,478.75,19.693674349267585,3,3,26.0
2017-04-22 09:01:00,23.008333333333336,41.29166666666666,921.25,199.0,471.0,20.385952347756533,1,1,26.0
2017-04-22 09:02:00,23.016666666666666,41.3,936.5,205.75,478.9166666666667,13.225778194653303,0,1,26.0
2017-04-22 09:03:00,23.099999999999998,41.65833333333334,948.3333333333334,205.25,480.6666666666667,13.62355988184317,2,1,27.0
2017-04-22 09:04:00,23.099999999999998,41.54166666666667,979.75,216.91666666666666,478.6666666666667,24.69388187554426,2,2,27.0
2017-04-22 09:06:00,23.16666666666666,41.516666666666666,1001.1666666666666,212.91666666666666,485.75,15.064996387182884,1,1,27.0
2017-04-22 09:08:00,23.16666666666666,41.49166666666667,1036.1666666666667,206.66666666666666,478.0833333333333,10.847684084632995,2,2,27.0
2017-04-22 09:12:00,22.74166666666667,40.63333333333333,1116.4166666666667,210.08333333333334,471.25,16.149250353473587,1,1,27.0
2017-04-22 09:13:00,22.475000000000005,40.658333333333324,1103.75,211.0909090909091,484.0,15.252710141698316,2,2,28.0
2017-04-22 09:31:00,22.300000000000008,42.75833333333335,1078.3333333333333,207.41666666666666,468.75,17.12710716963025,1,1,29.0
2017-04-22 09:36:00,22.400000000000002,42.016666666666666,1068.25,213.58333333333334,488.4166666666667,7.620841352283005,1,1,29.0
2017-04-22 09:40:00,22.300000000000008,40.675000000000004,1058.4166666666667,210.75,482.5,10.493806754859426,1,1,29.0
2017-04-22 10:11:00,22.599999999999998,38.09166666666667,1140.6666666666667,238.25,484.8333333333333,13.1247615256113,2,3,21.0
2017-04-22 10:12:00,22.599999999999998,38.166666666666664,1152.25,209.0,466.9166666666667,16.627482192517906,4,3,19.0
2017-04-22 10:13:00,22.575,38.25,1163.75,216.5,484.125,16.874909845438186,4,4,13.0
2017-04-22 10:14:00,22.5,38.5,1162.0,218.0,468.0,14.633821716176307,1,1,16.0
2017-04-22 10:15:00,22.4,38.400000000000006,1139.0,215.0,479.75,9.041213535112421,2,3,16.0
2017-04-22 10:16:00,22.4,38.4,1134.5,212.5,470.5,20.68845096001632,2,2,23.0
2017-04-22 10:17:00,22.399999999999995,38.300000000000004,1120.0,483.3333333333333,485.3333333333333,32.88985665571276,2,1,26.0
2017-04-22 10:18:00,22.399999999999995,38.300000000000004,1120.0,483.3333333333333,485.3333333333333,13.070572226698161,3,3,29.0
2017-04-22 10:19:00,22.549999999999997,37.95,1178.0,464.5,480.0,12.222183639459304,1,1,28.0
2017-04-22 10:20:00,22.549999999999997,37.95,1178.0,464.5,480.0,12.183124962593407,2,2,28.0
2017-04-22 11:01:00,22.800000000000008,37.458333333333336,1175.5833333333333,488.5833333333333,478.5833333333333,10.03075549144563,1,1,28.0
2017-04-22 11:06:00,22.858333333333334,37.208333333333336,1167.0,530.1666666666666,482.8333333333333,10.922376925758115,1,1,28.0
2017-04-22 11:12:00,22.900000000000002,37.5,1186.25,502.9166666666667,474.1666666666667,13.817945853279591,1,1,28.0
2017-04-22 11:15:00,22.900000000000002,37.300000000000004,1172.0833333333333,492.0,489.3333333333333,19.28553615245114,1,1,29.0
2017-04-22 11:31:00,22.825000000000003,37.24166666666667,1147.4166666666667,482.3333333333333,484.6666666666667,9.817439733284164,1,1,28.0
2017-04-22 11:32:00,22.858333333333338,37.416666666666664,1169.4166666666667,493.9166666666667,483.0,9.152803418443265,1,1,27.0
2017-04-22 11:35:00,22.858333333333334,37.25833333333333,1167.3333333333333,457.8333333333333,471.75,8.684820540028447,1,1,28.0
2017-04-22 11:36:00,22.883333333333336,37.19166666666667,1135.4166666666667,489.8333333333333,481.5833333333333,15.849026882588092,2,3,26.0
2017-04-22 11:37:00,22.875000000000004,37.06666666666666,1156.1666666666667,489.75,483.0833333333333,15.605165477601744,1,0,25.0
2017-04-22 11:39:00,22.86666666666667,37.175,1150.25,488.3333333333333,480.8333333333333,22.104973516533928,1,1,26.0
2017-04-22 11:40:00,22.875,37.14166666666666,1183.0,472.5833333333333,471.0833333333333,21.45525308393805,1,1,27.0
2017-04-22 11:41:00,22.875000000000004,37.15,1160.4166666666667,481.0,471.75,9.046055943061596,1,1,27.0
2017-04-22 11:42:00,22.883333333333336,37.34166666666666,1180.0,486.8333333333333,473.9166666666667,8.582273640087069,1,1,29.0
2017-04-22 11:45:00,22.89166666666667,37.074999999999996,1156.5833333333333,459.4166666666667,469.1666666666667,9.832533980575237,1,1,29.0
2017-04-22 11:48:00,22.800000000000008,36.99166666666667,1179.5,463.5833333333333,481.0,10.956265069394467,2,2,29.0
2017-04-22 11:51:00,22.858333333333334,37.291666666666664,1159.5,457.9166666666667,477.25,13.485827147571134,1,1,27.0
2017-04-22 12:00:00,22.900000000000002,36.883333333333326,1144.4166666666667,478.75,475.0833333333333,10.144247985311676,2,2,27.0
2017-04-22 12:01:00,22.900000000000002,37.25833333333334,1195.0833333333333,481.75,479.9166666666667,24.615217652991948,4,4,19.0
2017-04-22 12:02:00,22.86666666666667,37.18333333333334,1190.1666666666667,481.4166666666667,474.1666666666667,26.410094720106553,2,3,9.0
2017-04-22 12:03:00,22.84166666666667,37.208333333333336,1191.0833333333333,463.4166666666667,452.25,25.56611227533432,3,2,7.0
2017-04-22 12:04:00,22.749999999999996,37.15000000000001,1166.4166666666667,466.75,476.75,16.486370443996055,3,3,4.0
2017-04-22 12:05:00,22.699999999999992,37.13333333333335,1154.0,460.3333333333333,471.75,16.459127407004296,1,1,4.0
2017-04-22 12:08:00,22.63333333333333,36.78333333333334,1107.6666666666667,454.5833333333333,484.0,17.257809675380784,1,1,4.0
2017-04-22 12:09:00,22.458333333333332,36.54166666666667,1098.8333333333333,439.9166666666667,480.1666666666667,22.798735425000373,1,1,4.0
2017-04-22 12:12:00,22.13333333333333,37.03333333333334,1025.5833333333333,447.6666666666667,478.4166666666667,2.243661558145524,2,2,4.0
2017-04-22 12:16:00,22.0,37.10833333333334,975.0,454.1666666666667,483.0833333333333,2.259832451385132,1,1,4.0
2017-04-22 12:18:00,21.900000000000002,36.65833333333334,959.75,479.25,480.1666666666667,8.520889557679213,1,1,4.0
2017-04-22 12:19:00,21.900000000000002,36.833333333333336,963.75,442.5,457.4166666666667,3.1800545396266395,1,1,4.0
2017-04-22 12:20:00,21.925,37.025,953.0,444.0,479.4166666666667,2.788274836256283,2,2,4.0
2017-04-22 12:21:00,22.016666666666666,37.275,957.9166666666666,451.5,482.25,4.50244482198283,1,1,4.0
2017-04-22 12:22:00,22.10833333333333,37.3,954.9166666666666,444.0833333333333,453.0833333333333,10.724768669805114,0,1,4.0
2017-04-22 13:01:00,23.991666666666664,36.699999999999996,1119.8333333333333,486.8333333333333,473.5833333333333,18.856745988394533,2,1,29.0
2017-04-22 13:02:00,24.0,37.091666666666676,1148.5833333333333,481.9166666666667,487.0,19.114383709221013,1,1,29.0
2017-04-22 13:07:00,23.474999999999998,37.55833333333333,1246.4166666666667,461.8333333333333,467.5833333333333,7.972246324489311,1,1,28.0
2017-04-22 13:09:00,23.149999999999995,38.125,1272.3333333333333,445.5,480.4166666666667,17.885348082765027,1,1,27.0
2017-04-22 13:10:00,22.950000000000003,38.50000000000001,1225.0,457.4166666666667,481.4166666666667,17.74598792685265,1,1,28.0
2017-04-22 13:16:00,22.699999999999992,39.28333333333333,1211.5833333333333,461.4166666666667,479.5833333333333,13.201275546009436,1,1,29.0
2017-04-22 13:54:00,22.300000000000008,38.21666666666667,1244.5833333333333,469.5833333333333,484.6666666666667,9.293403742709126,1,1,28.0
2017-04-22 13:58:00,22.283333333333335,38.708333333333336,1208.4166666666667,473.25,485.9166666666667,9.223485450423103,1,1,29.0
2017-04-22 14:01:00,22.300000000000008,38.40833333333333,1239.1666666666667,479.8333333333333,480.9166666666667,11.56208019508168,3,3,26.0
2017-04-22 14:02:00,22.300000000000008,38.425000000000004,1253.5,458.0833333333333,484.0,14.892303363790527,1,1,25.0
2017-04-22 14:04:00,22.325000000000003,38.300000000000004,1238.9166666666667,466.6666666666667,464.25,7.320605763869544,2,2,28.0
2017-04-22 14:06:00,22.45,38.300000000000004,1221.8333333333333,441.0833333333333,483.4166666666667,19.05538297470035,0,1,27.0
2017-04-22 14:23:00,22.300000000000008,38.30833333333334,1207.5833333333333,464.9166666666667,466.5833333333333,20.318264874245536,2,1,28.0
2017-04-22 14:24:00,22.199999999999992,38.55,1189.0833333333333,469.8333333333333,467.0833333333333,21.940919427236864,1,1,28.0
