datetime,location,count_operation,count_change,count_total
2017-03-25 10:24:34.903000,Georgetown,+,1,29
2017-03-25 10:24:42.681000,Georgetown,+,1,30
2017-03-25 10:24:50.203000,Georgetown,+,1,31
2017-03-25 11:28:00.312000,Georgetown,-,1,30
2017-03-25 11:29:43.818000,Georgetown,+,1,31
2017-03-25 11:36:36.951000,Georgetown,-,1,30
2017-03-25 11:40:14.643000,Georgetown,-,1,29
2017-03-25 11:50:36.645000,Georgetown,+,1,30
2017-03-25 11:50:38.107000,Georgetown,+,1,31
2017-03-25 11:58:18.100000,Georgetown,-,1,30
2017-03-25 11:58:25.849000,Georgetown,-,1,29
2017-03-25 11:58:45.810000,Georgetown,-,1,28
2017-03-25 11:58:46.530000,Georgetown,-,1,27
2017-03-25 11:58:47.152000,Georgetown,-,1,26
2017-03-25 11:59:11.918000,Georgetown,-,1,25
2017-03-25 11:59:24.329000,Georgetown,-,1,24
2017-03-25 11:59:36.477000,Georgetown,-,1,23
2017-03-25 11:59:41.139000,Georgetown,-,1,22
2017-03-25 11:59:44.182000,Georgetown,-,1,21
2017-03-25 11:59:44.962000,Georgetown,-,1,20
2017-03-25 11:59:45.541000,Georgetown,-,1,19
2017-03-25 11:59:47.221000,Georgetown,-,1,18
2017-03-25 11:59:51.404000,Georgetown,-,1,17
2017-03-25 11:59:53.576000,Georgetown,-,1,16
2017-03-25 12:00:31.837000,Georgetown,+,1,17
2017-03-25 12:01:04.613000,Georgetown,-,1,16
2017-03-25 12:01:09.398000,Georgetown,-,1,15
2017-03-25 12:01:21.897000,Georgetown,-,1,14
2017-03-25 12:01:30.523000,Georgetown,-,1,13
2017-03-25 12:01:32.443000,Georgetown,-,1,12
2017-03-25 12:01:34.173000,Georgetown,-,1,11
2017-03-25 12:01:42.309000,Georgetown,x,11,0
2017-03-25 12:50:24.746000,Georgetown,+,1,1
2017-03-25 12:50:26.953000,Georgetown,+,1,2
2017-03-25 12:50:28.107000,Georgetown,+,1,3
2017-03-25 12:50:28.855000,Georgetown,+,1,4
2017-03-25 12:50:29.580000,Georgetown,+,1,5
2017-03-25 12:50:30.215000,Georgetown,+,1,6
2017-03-25 12:50:31.099000,Georgetown,+,1,7
2017-03-25 12:50:44.984000,Georgetown,+,1,8
2017-03-25 12:50:46.702000,Georgetown,+,1,9
2017-03-25 12:51:20.068000,Georgetown,+,1,10
